tweet,label
"b'RT @surfermom77: The corrupt network @CNN that reported Trump-Russia dossier &amp; has been accusing our President, had close ties with Opposit\xe2\x80\xa6'",negative
"b'RT @FoxNews: On @FoxFriendsFirst, @Joy_Villa shared her thoughts on @POTUS. https://t.co/UhpIZjgk6B https://t.co/cI8Dig895Q'",negative
b'RT @CyndiJorae: @MarkGeistSWP @JENNIFERANNL0VE @DonaldJTrumpJr @HillaryClinton Are you not concerned that Trump has done nothing to protect\xe2\x80\xa6',negative
b'@Etienneh4 @EmmanuelMacron Monsieur joue \xc3\xa0 Trump avec ces sorties m\xc3\xa9prisantes ? Mais il se prends pour quo\xc3\xae bon sang ??!!!!',negative
"b'RT @jimlibertarian: Mad Dog is riding this Trump followback train, come and join us as we blaze a righteous path of glory across America\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xe2\x80\xa6'",negative
b'Poll: Most say divisions under Trump as bad as during Vietnam: https://t.co/3zDcDJIpZu',negative
"b""RT @jbarro: Trump's gonna win again https://t.co/BIl3aM1mYu""",positive
b'RT @RealJamesWoods: Period. No discussion. Now put this lying hag in jail already.  https://t.co/yXPTAi9Ef0',negative
"b""RT @DrCrane72: @realDonaldTrump #Mueller's about to point out that the Narcissistic Traitor Trump Show will end in a flurry of indictments.\xe2\x80\xa6""",negative
b'RT @Evan_McMullin: Buckle up. We can expect Trump\xe2\x80\x99s efforts to confuse and divide Americans against each other to shift into overdrive. Don\xe2\x80\xa6',negative
b'RT @BrunoAmato_1: The only hand salute he deserves. #VeteransAgainstTrump. https://t.co/XvsJZTT3Rn',negative
b'RT @thehill: Maxine Waters: Trump is the most dishonorable and despicable president ever https://t.co/qVnXD3Vf9w https://t.co/dCaPcu1iCy',positive
b'@MollyJongFast Trump has some nerve calling Michael Moore sloppy when he used to have Steve Bannon in the West Wing.',negative
"b""Trump threatens to 'totally destroy' North Korea in UN speech https://t.co/brhyU6GXKQ""",negative
"b""RT @JudicialWatch: Reminder: Trump's DOJ blacked out talking points developed by Obama's DOJ for the #Clinton #Lynch tarmac meeting. https:\xe2\x80\xa6""",positive
